"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","0.1439","0.1434","0.1441","0.1431","","0.35%"
"12/29/2022","0.1434","0.1427","0.1438","0.1427","","0.49%"
"12/28/2022","0.1427","0.1431","0.1435","0.1426","","-0.28%"
"12/27/2022","0.1431","0.1430","0.1435","0.1427","","0.07%"
"12/26/2022","0.1430","0.1427","0.1431","0.1426","","0.21%"
"12/23/2022","0.1427","0.1425","0.1430","0.1424","","0.14%"
"12/22/2022","0.1425","0.1426","0.1433","0.1422","","-0.07%"
"12/21/2022","0.1426","0.1428","0.1431","0.1424","","-0.14%"
"12/20/2022","0.1428","0.1426","0.1433","0.1422","","0.14%"
"12/19/2022","0.1426","0.1424","0.1433","0.1421","","0.21%"
"12/16/2022","0.1423","0.1429","0.1434","0.1423","","-0.42%"
"12/15/2022","0.1429","0.1436","0.1443","0.1424","","-0.49%"
"12/14/2022","0.1436","0.1429","0.1438","0.1427","","0.49%"
"12/13/2022","0.1429","0.1417","0.1435","0.1415","","0.85%"
"12/12/2022","0.1417","0.1416","0.1423","0.1412","","0.07%"
"12/09/2022","0.1416","0.1419","0.1424","0.1412","","-0.21%"
"12/08/2022","0.1419","0.1412","0.1420","0.1410","","0.50%"
"12/07/2022","0.1412","0.1407","0.1418","0.1404","","0.36%"
"12/06/2022","0.1407","0.1411","0.1416","0.1406","","-0.28%"
"12/05/2022","0.1411","0.1417","0.1425","0.1409","","-0.42%"
"12/02/2022","0.1417","0.1415","0.1418","0.1402","","0.14%"
"12/01/2022","0.1415","0.1399","0.1417","0.1398","","1.14%"
"11/30/2022","0.1399","0.1389","0.1402","0.1383","","0.72%"
"11/29/2022","0.1389","0.1390","0.1398","0.1388","","-0.07%"
"11/28/2022","0.1390","0.1398","0.1411","0.1389","","-0.57%"
"11/25/2022","0.1398","0.1400","0.1402","0.1392","","-0.14%"
"11/24/2022","0.1400","0.1398","0.1405","0.1396","","0.14%"
"11/23/2022","0.1398","0.1385","0.1399","0.1384","","0.94%"
"11/22/2022","0.1385","0.1377","0.1386","0.1377","","0.58%"
"11/21/2022","0.1377","0.1388","0.1390","0.1374","","-0.79%"
"11/18/2022","0.1388","0.1393","0.1398","0.1387","","-0.36%"
"11/17/2022","0.1393","0.1398","0.1399","0.1385","","-0.29%"
"11/16/2022","0.1397","0.1391","0.1403","0.1389","","0.43%"
"11/15/2022","0.1391","0.1388","0.1409","0.1382","","0.22%"
"11/14/2022","0.1388","0.1392","0.1394","0.1381","","-0.29%"
"11/11/2022","0.1392","0.1372","0.1393","0.1366","","1.46%"
"11/10/2022","0.1372","0.1346","0.1374","0.1336","","1.93%"
"11/09/2022","0.1346","0.1354","0.1356","0.1343","","-0.59%"
"11/08/2022","0.1354","0.1347","0.1357","0.1341","","0.52%"
"11/07/2022","0.1347","0.1338","0.1349","0.1332","","0.67%"
"11/04/2022","0.1338","0.1310","0.1339","0.1309","","2.14%"
"11/03/2022","0.1310","0.1319","0.1322","0.1307","","-0.68%"
"11/02/2022","0.1319","0.1327","0.1340","0.1318","","-0.60%"
"11/01/2022","0.1327","0.1327","0.1337","0.1323","","0.00%"
"10/31/2022","0.1327","0.1338","0.1339","0.1326","","-0.90%"
"10/28/2022","0.1339","0.1339","0.1344","0.1334","","0.00%"
"10/27/2022","0.1339","0.1356","0.1357","0.1338","","-1.18%"
"10/26/2022","0.1355","0.1340","0.1356","0.1337","","1.12%"
